time_utc,epoch,lull_mps,avg_mps,gust_mps,dir_deg,lull_mph,avg_mph,gust_mph
2025-12-12T20:00:00+00:00,1765569600,0.0,1.4,2.6,137.0,0.0,3.1317108088761594,5.816034359341439
2025-12-12T20:05:00+00:00,1765569900,0.1,1.7,3.9,111.0,0.22369362920544,3.8027916964924797,8.724051539012159
2025-12-12T20:10:00+00:00,1765570200,0.0,1.4,3.3,99.0,0.0,3.1317108088761594,7.381889763779519
2025-12-12T20:15:00+00:00,1765570500,0.2,1.5,3.2,102.0,0.44738725841088,3.3554044380815995,7.15819613457408
2025-12-12T20:20:00+00:00,1765570800,0.0,1.4,3.2,67.0,0.0,3.1317108088761594,7.15819613457408
2025-12-12T20:25:00+00:00,1765571100,0.0,1.2,2.9,73.0,0.0,2.6843235504652796,6.487115246957759
2025-12-12T20:30:00+00:00,1765571400,0.1,1.9,4.2,62.0,0.22369362920544,4.250178954903359,9.39513242662848
2025-12-12T20:35:00+00:00,1765571700,0.0,1.1,2.4,56.0,0.0,2.46062992125984,5.368647100930559
2025-12-12T20:40:00+00:00,1765572000,0.9,1.7,3.1,47.0,2.0132426628489597,3.8027916964924797,6.9345025053686395
2025-12-12T20:45:00+00:00,1765572300,0.0,1.4,3.1,35.0,0.0,3.1317108088761594,6.9345025053686395
2025-12-12T20:50:00+00:00,1765572600,0.1,1.5,2.5,60.0,0.22369362920544,3.3554044380815995,5.592340730136
